Funding Source,Wallet Media Type,Model,Objective,Media Mix,Media Category,Month,Spend,Date,tier,Media Channel
T1,Advanced TV,Altima,Near Market,Addressable,NATIONAL TV,December,750000.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Armada,Near Market,Addressable,NATIONAL TV,December,400000.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Armada,Near Market,Addressable,NATIONAL TV,November,400000.00,11/1/18,T1,Addressable TV T1
T1,Advanced TV,Maxima,Near Market,Addressable,NATIONAL TV,December,257813.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Maxima,Near Market,Addressable,NATIONAL TV,February,257813.00,2/1/19,T1,Addressable TV T1
T1,Advanced TV,Maxima,Near Market,Addressable,NATIONAL TV,January,312500.00,1/1/19,T1,Addressable TV T1
T1,Advanced TV,Maxima,Near Market,Addressable,NATIONAL TV,March,257813.00,3/1/19,T1,Addressable TV T1
T1,Advanced TV,Maxima,Near Market,Addressable,NATIONAL TV,November,257813.00,11/1/18,T1,Addressable TV T1
T1,Advanced TV,Murano,Near Market,Addressable,NATIONAL TV,December,312500.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Murano,Near Market,Addressable,NATIONAL TV,February,312500.00,2/1/19,T1,Addressable TV T1
T1,Advanced TV,Murano,Near Market,Addressable,NATIONAL TV,January,312500.00,1/1/19,T1,Addressable TV T1
T1,Advanced TV,Murano,Near Market,Addressable,NATIONAL TV,March,312500.00,3/1/19,T1,Addressable TV T1
T1,Advanced TV,Murano,Near Market,Addressable,NATIONAL TV,November,312500.00,11/1/18,T1,Addressable TV T1
T1,Advanced TV,Pathfinder,Near Market,Addressable,NATIONAL TV,December,312500.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Pathfinder,Near Market,Addressable,NATIONAL TV,February,312500.00,2/1/19,T1,Addressable TV T1
T1,Advanced TV,Pathfinder,Near Market,Addressable,NATIONAL TV,January,312500.00,1/1/19,T1,Addressable TV T1
T1,Advanced TV,Pathfinder,Near Market,Addressable,NATIONAL TV,March,312500.00,3/1/19,T1,Addressable TV T1
T1,Advanced TV,Pathfinder,Near Market,Addressable,NATIONAL TV,November,312500.00,11/1/18,T1,Addressable TV T1
T1,Advanced TV,Titan,Near Market,Addressable,NATIONAL TV,December,389624.00,12/1/18,T1,Addressable TV T1
T1,Advanced TV,Titan,Near Market,Addressable,NATIONAL TV,November,389624.00,11/1/18,T1,Addressable TV T1
T1,Advanced TV,Titan,Near Market,Addressable,NATIONAL TV,October,389624.00,10/1/18,T1,Addressable TV T1
T1,Audio,LEAF,Future Market,Radio,SPOT RADIO,December,190455.00,12/1/18,T1,Radio T2
T1,Audio,LEAF,Future Market,Radio,SPOT RADIO,November,767383.00,11/1/18,T1,Radio T2
T1,Audio,LEAF,Future Market,Radio,SPOT RADIO,October,768231.00,10/1/18,T1,Radio T2
T1,Audio,Rogue,Future Market,Hispanic,HISPANIC MEDIA,December,69564.00,12/1/18,T1,Digital Audio
T1,Audio,Rogue,Future Market,Hispanic,HISPANIC MEDIA,November,277691.00,11/1/18,T1,Digital Audio
T1,Audio,Rogue,Future Market,Hispanic,HISPANIC MEDIA,October,277372.00,10/1/18,T1,Digital Audio
T1,Audio,Rogue,Future Market,Radio,SPOT RADIO,December,190455.00,12/1/18,T1,Radio T2
T1,Audio,Rogue,Future Market,Radio,SPOT RADIO,November,767383.00,11/1/18,T1,Radio T2
T1,Audio,Rogue,Future Market,Radio,SPOT RADIO,October,768231.00,10/1/18,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,December,3825.00,12/1/18,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,February,3825.00,2/1/19,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,January,3825.00,1/1/19,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,March,3825.00,3/1/19,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,November,3825.00,11/1/18,T1,Radio T2
T1,Audio,Titan,Future Market,Radio,SPOT RADIO,October,14248.00,10/1/18,T1,Radio T2
T1,Digital Display,Altima,Future Market,African AM,AFRICAN AM MEDIA,December,132983.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,African AM,AFRICAN AM MEDIA,January,144866.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,African AM,AFRICAN AM MEDIA,November,168199.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,African AM,AFRICAN AM MEDIA,October,519701.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,December,139602.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,February,102174.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,January,113120.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,March,113121.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,November,1932935.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Hispanic,HISPANIC MEDIA,October,1269485.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,December,840546.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,February,211656.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,January,220596.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,March,27752.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,November,187033.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Lifestyle,DIGITAL MEDIA,October,22780.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Altima,Future Market,Social Media,DIGITAL MEDIA,February,185351.00,2/1/19,T1,Social T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,December,4119.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,February,2833.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,January,4119.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,March,2833.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,November,4119.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Altima,In Market,African AM,AFRICAN AM MEDIA,October,4119.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Armada,Future Market,Social Media,DIGITAL MEDIA,February,6520.00,2/1/19,T1,Social T1
T1,Digital Display,Armada,Future Market,Social Media,DIGITAL MEDIA,October,9981.00,10/1/18,T1,Social T1
T1,Digital Display,Armada,In Market,Lifestyle,DIGITAL MEDIA,December,438975.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Armada,In Market,Social Media,DIGITAL MEDIA,December,627256.00,12/1/18,T1,Social T1
T1,Digital Display,Armada,In Market,Social Media,DIGITAL MEDIA,November,22744.00,11/1/18,T1,Social T1
T1,Digital Display,Kicks,Future Market,LGBTQ,LGBT MEDIA,October,85149.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Kicks,Future Market,Lifestyle,DIGITAL MEDIA,November,20939.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Kicks,Future Market,Lifestyle,DIGITAL MEDIA,October,479061.00,10/1/18,T1,Digital Display T1
T1,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,January,100000.00,1/1/19,T1,Digital Display T1
T1,Digital Display,LEAF,Future Market,Social Media,DIGITAL MEDIA,February,22149.00,2/1/19,T1,Social T1
T1,Digital Display,LEAF,Future Market,Social Media,DIGITAL MEDIA,January,162500.00,1/1/19,T1,Social T1
T1,Digital Display,Maxima,Future Market,Social Media,DIGITAL MEDIA,December,98708.00,12/1/18,T1,Social T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,December,4119.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,February,2833.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,January,4119.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,March,2833.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,November,4119.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Maxima,In Market,African AM,AFRICAN AM MEDIA,October,4119.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Murano,Future Market,Social Media,DIGITAL MEDIA,December,98708.00,12/1/18,T1,Social T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,December,4119.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,February,2833.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,January,4119.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,March,2833.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,November,4119.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Murano,In Market,African AM,AFRICAN AM MEDIA,October,4119.00,10/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,December,42063.00,12/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,February,53417.00,2/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,January,56642.00,1/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,March,67060.00,3/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,November,36613.00,11/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,October,39371.00,10/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,December,19791.00,12/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,February,20810.00,2/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,January,24489.00,1/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,March,29626.00,3/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,November,18034.00,11/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,October,19256.00,10/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,December,42060.00,12/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,February,53416.00,2/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,January,56640.00,1/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,March,67056.00,3/1/19,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,November,36610.00,11/1/18,T1,Digital Display T1
T1,Digital Display,NV,In Market,NCV Media,NCV MEDIA,October,39368.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,December,4119.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,February,2833.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,January,4119.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,March,2833.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,November,4119.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Pathfinder,In Market,African AM,AFRICAN AM MEDIA,October,4119.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,African AM,AFRICAN AM MEDIA,February,204866.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,African AM,AFRICAN AM MEDIA,March,82758.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,December,614987.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,February,92857.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,January,92857.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,March,182858.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,November,117857.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Hispanic,HISPANIC MEDIA,October,117857.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,LGBTQ,LGBT MEDIA,October,44050.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,December,24847.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,February,21791.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,January,21791.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,March,27752.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,November,18372.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,Future Market,Lifestyle,DIGITAL MEDIA,October,22780.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,December,4116.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,February,2831.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,January,4116.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,March,2831.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,November,4116.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Rogue,In Market,African AM,AFRICAN AM MEDIA,October,4116.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,December,4116.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,February,2831.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,January,4116.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,March,2831.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,November,4116.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Rogue Sport,In Market,African AM,AFRICAN AM MEDIA,October,4116.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,December,4116.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,February,2831.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,January,4116.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,March,2831.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,November,4116.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Sentra,In Market,African AM,AFRICAN AM MEDIA,October,4116.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,December,710750.00,12/1/18,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,February,21797.00,2/1/19,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,January,21797.00,1/1/19,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,March,40260.00,3/1/19,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,November,1358148.00,11/1/18,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Lifestyle,DIGITAL MEDIA,October,1362557.00,10/1/18,T1,Digital Display T1
T1,Digital Display,Titan,Future Market,Social Media,DIGITAL MEDIA,December,133328.00,12/1/18,T1,Social T1
T1,Digital Display,Titan,Future Market,Social Media,DIGITAL MEDIA,November,131672.00,11/1/18,T1,Social T1
T1,Online Video,Altima,Future Market,African AM,AFRICAN AM MEDIA,December,55000.00,12/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,African AM,AFRICAN AM MEDIA,January,55000.00,1/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,African AM,AFRICAN AM MEDIA,November,55000.00,11/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,December,383112.00,12/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,February,350164.00,2/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,January,350164.00,1/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,March,383114.00,3/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,November,383112.00,11/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Hispanic,HISPANIC MEDIA,October,191556.00,10/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Social Video,DIGITAL MEDIA,December,635607.00,12/1/18,T1,Social T1
T1,Online Video,Altima,Future Market,Social Video,DIGITAL MEDIA,November,714393.00,11/1/18,T1,Social T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,December,11177080.00,12/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,February,259295.00,2/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,January,1240207.00,1/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,March,3167142.00,3/1/19,T1,Streaming T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,November,5856051.00,11/1/18,T1,Streaming T1
T1,Online Video,Altima,Future Market,Streaming Video,DIGITAL MEDIA,October,1311520.00,10/1/18,T1,Streaming T1
T1,Online Video,Kicks,Future Market,Hispanic,HISPANIC MEDIA,October,191556.00,10/1/18,T1,Streaming T1
T1,Online Video,Kicks,Future Market,Social Video,DIGITAL MEDIA,February,164754.00,2/1/19,T1,Social T1
T1,Online Video,Kicks,Future Market,Social Video,DIGITAL MEDIA,January,164754.00,1/1/19,T1,Social T1
T1,Online Video,Kicks,Future Market,Social Video,DIGITAL MEDIA,March,164754.00,3/1/19,T1,Social T1
T1,Online Video,Kicks,Future Market,Streaming Video,DIGITAL MEDIA,February,201913.00,2/1/19,T1,Streaming T1
T1,Online Video,Kicks,Future Market,Streaming Video,DIGITAL MEDIA,January,201913.00,1/1/19,T1,Streaming T1
T1,Online Video,Kicks,Future Market,Streaming Video,DIGITAL MEDIA,March,201913.00,3/1/19,T1,Streaming T1
T1,Online Video,Kicks,Future Market,Streaming Video,DIGITAL MEDIA,October,1372956.00,10/1/18,T1,Streaming T1
T1,Online Video,Rogue,Future Market,African AM,AFRICAN AM MEDIA,February,55000.00,2/1/19,T1,Streaming T1
T1,Online Video,Rogue,Future Market,Streaming Video,DIGITAL MEDIA,February,868377.00,2/1/19,T1,Streaming T1
T1,Online Video,Rogue,Future Market,Streaming Video,DIGITAL MEDIA,March,38833.00,3/1/19,T1,Streaming T1
T1,OOH,Altima,Future Market,OOH,OUTDOOR,December,2859587.00,12/1/18,T1,Other
T1,OOH,Altima,Future Market,OOH,OUTDOOR,February,1955.00,2/1/19,T1,Other
T1,OOH,Altima,Future Market,OOH,OUTDOOR,January,573384.00,1/1/19,T1,Other
T1,OOH,Altima,Future Market,OOH,OUTDOOR,March,2444.00,3/1/19,T1,Other
T1,OOH,Altima,Future Market,OOH,OUTDOOR,November,611384.00,11/1/18,T1,Other
T1,OOH,Altima,Future Market,OOH,OUTDOOR,October,1955.00,10/1/18,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,December,2444.00,12/1/18,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,February,1955.00,2/1/19,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,January,1955.00,1/1/19,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,March,2444.00,3/1/19,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,November,1955.00,11/1/18,T1,Other
T1,OOH,Rogue,Future Market,OOH,OUTDOOR,October,1955.00,10/1/18,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,December,2444.00,12/1/18,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,February,1955.00,2/1/19,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,January,1955.00,1/1/19,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,March,2444.00,3/1/19,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,November,1955.00,11/1/18,T1,Other
T1,OOH,Titan,Future Market,OOH,OUTDOOR,October,1955.00,10/1/18,T1,Other
T1,Print,Altima,Future Market,Enthusiast Print,PRINT,February,72170.00,2/1/19,T1,Print
T1,Print,Altima,Future Market,Enthusiast Print,PRINT,January,40130.00,1/1/19,T1,Print
T1,Print,Altima,Future Market,Enthusiast Print,PRINT,November,147650.00,11/1/18,T1,Print
T1,Print,Altima,Future Market,Enthusiast Print,PRINT,October,157560.00,10/1/18,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,December,2946.00,12/1/18,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,February,2504.00,2/1/19,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,January,4946.00,1/1/19,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,March,2946.00,3/1/19,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,November,10349.00,11/1/18,T1,Print
T1,Print,Altima,Future Market,Trade Print,PRINT,October,9618.00,10/1/18,T1,Print
T1,Print,Maxima,Future Market,Enthusiast Print,PRINT,February,17675.00,2/1/19,T1,Print
T1,Print,Maxima,Future Market,Enthusiast Print,PRINT,March,35350.00,3/1/19,T1,Print
T1,Print,Rogue,Future Market,Trade Print,PRINT,December,2945.00,12/1/18,T1,Print
T1,Print,Rogue,Future Market,Trade Print,PRINT,February,2503.00,2/1/19,T1,Print
T1,Print,Rogue,Future Market,Trade Print,PRINT,January,4945.00,1/1/19,T1,Print
T1,Print,Rogue,Future Market,Trade Print,PRINT,March,2945.00,3/1/19,T1,Print
T1,Print,Rogue,Future Market,Trade Print,PRINT,November,10346.00,11/1/18,T1,Print
